asset_id;asset_name;voltage_level;is_dga_applicable;jumlah_pengukuran
CBL-AMM-1017C;HV Cable CBL-AMM-1017C;6.6kV;0;26
CBL-AMM-1066B;HV Cable CBL-AMM-1066B;11kV;0;7
CBL-AMM-1072C;HV Cable CBL-AMM-1072C;3.3kV;0;28
CBL-AMM-109C;HV Cable CBL-AMM-109C;6.6kV;0;14
CBL-AMM-1140;HV Cable CBL-AMM-1140;11kV;0;3
CBL-AMM-152B;HV Cable CBL-AMM-152B;3.3kV;0;6
CBL-AMM-199B;HV Cable CBL-AMM-199B;11kV;0;7
CBL-AMM-221C;HV Cable CBL-AMM-221C;33kV;0;13
CBL-AMM-321B;HV Cable CBL-AMM-321B;3.3kV;0;6
CBL-AMM-390B;HV Cable CBL-AMM-390B;6.6kV;0;6
CBL-AMM-504A;HV Cable CBL-AMM-504A;6.6kV;0;7
CBL-AMM-647C;HV Cable CBL-AMM-647C;11kV;0;7
CBL-AMM-761C;HV Cable CBL-AMM-761C;11kV;0;6
CBL-AMM-780;HV Cable CBL-AMM-780;33kV;0;11
CBL-PLB-1113A;HV Cable CBL-PLB-1113A;3.3kV;0;27
CBL-PLB-1138B;HV Cable CBL-PLB-1138B;3.3kV;0;27
CBL-PLB-164C;HV Cable CBL-PLB-164C;11kV;0;8
CBL-PLB-166B;HV Cable CBL-PLB-166B;6.6kV;0;4
CBL-PLB-356B;HV Cable CBL-PLB-356B;33kV;0;27
CBL-PLB-470A;HV Cable CBL-PLB-470A;33kV;0;7
CBL-PLB-614C;HV Cable CBL-PLB-614C;3.3kV;0;5
CBL-PLB-621B;HV Cable CBL-PLB-621B;3.3kV;0;3
CBL-PLB-628B;HV Cable CBL-PLB-628B;6.6kV;0;13
CBL-PLB-631A;HV Cable CBL-PLB-631A;3.3kV;0;13
CBL-PLB-739A;HV Cable CBL-PLB-739A;6.6kV;0;13
CBL-SS33-101;HV Cable CBL-SS33-101;3.3kV;0;6
CBL-SS33-1021A;HV Cable CBL-SS33-1021A;33kV;0;14
CBL-SS33-1094;HV Cable CBL-SS33-1094;33kV;0;7
CBL-SS33-1112;HV Cable CBL-SS33-1112;33kV;0;27
CBL-SS33-1114C;HV Cable CBL-SS33-1114C;6.6kV;0;7
CBL-SS33-1125C;HV Cable CBL-SS33-1125C;11kV;0;13
CBL-SS33-114C;HV Cable CBL-SS33-114C;3.3kV;0;7
CBL-SS33-1159B;HV Cable CBL-SS33-1159B;33kV;0;14
CBL-SS33-181B;HV Cable CBL-SS33-181B;6.6kV;0;13
CBL-SS33-195A;HV Cable CBL-SS33-195A;33kV;0;6
CBL-SS33-303C;HV Cable CBL-SS33-303C;11kV;0;7
CBL-SS33-336B;HV Cable CBL-SS33-336B;33kV;0;12
CBL-SS33-39;HV Cable CBL-SS33-39;11kV;0;13
CBL-SS33-419B;HV Cable CBL-SS33-419B;11kV;0;26
CBL-SS33-440;HV Cable CBL-SS33-440;3.3kV;0;13
CBL-SS33-478C;HV Cable CBL-SS33-478C;33kV;0;14
CBL-SS33-514;HV Cable CBL-SS33-514;11kV;0;4
CBL-SS33-660C;HV Cable CBL-SS33-660C;3.3kV;0;3
CBL-SS33-860A;HV Cable CBL-SS33-860A;6.6kV;0;14
CBL-SS33-893;HV Cable CBL-SS33-893;33kV;0;25
