asset_id;asset_name;voltage_level;criticality;measurement_uuid;measured_at;overall_severity;humidity;temperature;method;unit;value;reading_severity;threshold_watch;threshold_warning;threshold_critical;reading_point_name;phase;position;lab_fault_type;lab_status;h2_ppm
TR-26;TR-26;;Medium;46b1a32d-5baf-6c3f-69a3-a87ca2e1199a;2023-03-27;Normal;74.77;31.83;UHF;mV;18.548;Normal;50.0;200.0;500.0;UHF R-Top;R;Top;Normal;3;2
TR-26;TR-26;;Medium;46b1a32d-5baf-6c3f-69a3-a87ca2e1199a;2023-03-27;Normal;74.77;31.83;UHF;mV;18.033;Normal;50.0;200.0;500.0;UHF R-Bottom;R;Bottom;Normal;3;2
TR-26;TR-26;;Medium;46b1a32d-5baf-6c3f-69a3-a87ca2e1199a;2023-03-27;Normal;74.77;31.83;UHF;mV;11.306;Normal;50.0;200.0;500.0;UHF S-Top;S;Top;Normal;3;2
TR-26;TR-26;;Medium;46b1a32d-5baf-6c3f-69a3-a87ca2e1199a;2023-03-27;Normal;74.77;31.83;UHF;mV;10.297;Normal;50.0;200.0;500.0;UHF S-Bottom;S;Bottom;Normal;3;2
TR-26;TR-26;;Medium;46b1a32d-5baf-6c3f-69a3-a87ca2e1199a;2023-03-27;Normal;74.77;31.83;UHF;mV;14.367;Normal;50.0;200.0;500.0;UHF T-Top;T;Top;Normal;3;2
TR-26;TR-26;;Medium;46b1a32d-5baf-6c3f-69a3-a87ca2e1199a;2023-03-27;Normal;74.77;31.83;UHF;mV;13.363;Normal;50.0;200.0;500.0;UHF T-Bottom;T;Bottom;Normal;3;2
TR-26;TR-26;;Medium;d93edd1a-9101-cfdd-3c1d-d0d510245799;2023-07-25;Normal;65.63;37.06;UHF;mV;21.878;Normal;50.0;200.0;500.0;UHF R-Top;R;Top;Normal;2;6
TR-26;TR-26;;Medium;d93edd1a-9101-cfdd-3c1d-d0d510245799;2023-07-25;Normal;65.63;37.06;UHF;mV;19.28;Normal;50.0;200.0;500.0;UHF R-Bottom;R;Bottom;Normal;2;6
TR-26;TR-26;;Medium;d93edd1a-9101-cfdd-3c1d-d0d510245799;2023-07-25;Normal;65.63;37.06;UHF;mV;14.5;Normal;50.0;200.0;500.0;UHF S-Top;S;Top;Normal;2;6
TR-26;TR-26;;Medium;d93edd1a-9101-cfdd-3c1d-d0d510245799;2023-07-25;Normal;65.63;37.06;UHF;mV;13.647;Normal;50.0;200.0;500.0;UHF S-Bottom;S;Bottom;Normal;2;6
TR-26;TR-26;;Medium;d93edd1a-9101-cfdd-3c1d-d0d510245799;2023-07-25;Normal;65.63;37.06;UHF;mV;15.75;Normal;50.0;200.0;500.0;UHF T-Top;T;Top;Normal;2;6
TR-26;TR-26;;Medium;d93edd1a-9101-cfdd-3c1d-d0d510245799;2023-07-25;Normal;65.63;37.06;UHF;mV;14.835;Normal;50.0;200.0;500.0;UHF T-Bottom;T;Bottom;Normal;2;6
TR-26;TR-26;;Medium;957e63f6-4c4d-2fd0-12a7-e6cf98622f71;2023-11-23;Normal;59.94;33.59;UHF;mV;23.875;Normal;50.0;200.0;500.0;UHF R-Top;R;Top;Normal;1;2
TR-26;TR-26;;Medium;957e63f6-4c4d-2fd0-12a7-e6cf98622f71;2023-11-23;Normal;59.94;33.59;UHF;mV;21.689;Normal;50.0;200.0;500.0;UHF R-Bottom;R;Bottom;Normal;1;2
TR-26;TR-26;;Medium;957e63f6-4c4d-2fd0-12a7-e6cf98622f71;2023-11-23;Normal;59.94;33.59;UHF;mV;15.741;Normal;50.0;200.0;500.0;UHF S-Top;S;Top;Normal;1;2
TR-26;TR-26;;Medium;957e63f6-4c4d-2fd0-12a7-e6cf98622f71;2023-11-23;Normal;59.94;33.59;UHF;mV;15.486;Normal;50.0;200.0;500.0;UHF S-Bottom;S;Bottom;Normal;1;2
TR-26;TR-26;;Medium;957e63f6-4c4d-2fd0-12a7-e6cf98622f71;2023-11-23;Normal;59.94;33.59;UHF;mV;14.99;Normal;50.0;200.0;500.0;UHF T-Top;T;Top;Normal;1;2
TR-26;TR-26;;Medium;957e63f6-4c4d-2fd0-12a7-e6cf98622f71;2023-11-23;Normal;59.94;33.59;UHF;mV;14.839;Normal;50.0;200.0;500.0;UHF T-Bottom;T;Bottom;Normal;1;2
TR-27;TR-27;;Medium;249df38d-3097-ca32-2be4-fa81a2542fea;2023-03-27;Normal;50.76;31.71;UHF;mV;6.731;Normal;50.0;200.0;500.0;UHF R-Top;R;Top;Normal;1;5
TR-27;TR-27;;Medium;249df38d-3097-ca32-2be4-fa81a2542fea;2023-03-27;Normal;50.76;31.71;UHF;mV;6.773;Normal;50.0;200.0;500.0;UHF R-Bottom;R;Bottom;Normal;1;5
